gorgiasdomain,executionid,timestamp,summarize_question,automated,processed_question,cluster,summary_question
ekster,f2e76acf-8921-474c-a0ad-81ed4725d0d6,2024-06-08T18:43:33.341000,"""What should I do if I received an empty package?""",True,received empty package,3,How can I get assistance with a missing or incorrectly delivered package?
ekster,de31d329-aaab-4780-839e-7f6422d810f0,2024-06-08T18:34:56.993000,"""What can I do if my newly received wallet appears used and has a stiff pop-up mechanism?""",True,newly received wallet appears used stiff mechanism,1,How can I resolve issues with incorrect or incomplete wallet orders and unwanted emails?
ekster,2f50e64c-a4b6-4b9b-a387-7e1499022682,2024-06-08T18:30:27.154999,"""Where is my order?""",True,order,9,"How can I check the status or modify my order, including delivery and promotional issues?"
ekster,e1451d1e-2f0f-447c-9393-fb5ca377b009,2024-06-08T18:14:43.778000,"""Is the wallet color I received incorrect, or is the website's image misleading?""",True,wallet color received incorrect website image misleading,1,How can I resolve issues with incorrect or incomplete wallet orders and unwanted emails?
ekster,6ec82cbe-043b-4f9c-99ac-dd348a3c1c1f,2024-06-08T16:55:12.016999,"""How can I apply a missed promotional code to my already placed order?""",False,apply missed promotional code already placed order,6,How can customers address issues with applying promotional codes and canceling orders?
ekster,a6585bdc-2382-4284-bfc1-7c52ea313a4e,2024-06-08T16:15:22.392999,"""How do I obtain a return label for an item I've started the return process for?""",False,obtain return label item started return process,2,What are the steps to return an item and get a refund for a recent order?
ekster,82687633-5d9f-4252-b997-0a5b4cc8c0b5,2024-06-08T16:04:39.302000,"""Can you change the capitalization of the last name on my order to be correct?""",False,change capitalization last name order correct,5,How can I update or correct shipping and billing addresses for recent orders?
ekster,df9923a2-e2e7-418a-b858-9ff53f085c6f,2024-06-08T16:02:24.512000,"""What is the status of my support request?""",True,status support request,0,How can I successfully process a warranty claim or return for a defective product?
ekster,eaec9513-6e33-405a-8073-5fc493b220b9,2024-06-08T15:12:04.312000,"""Why was my tracking number not recognized by the email tracking service?""",True,tracking number recognized email tracking service,7,What should I do if my tracking number shows the order as delivered but I haven't received it?
ekster,7b7eb9b0-10b0-4f31-926a-fbe411dcf372,2024-06-08T14:53:30.131000,"""How can I get assistance for a wallet from a bundle where the card ejection button is no longer working?""",True,get assistance wallet bundle card ejection button longer working,4,"How can customers resolve issues with Ekster and Chipolo tracker cards, including charging, connection, and warranty claims?"
ekster,9c294ab3-7a3b-4828-8df1-d69241d1e944,2024-06-08T14:42:11.167000,"""What options do you offer for a Dad that doesn't have an iPhone, considering all bundles seem to include apple finder cards?""",False,options offer dad iphone considering bundles seem include apple finder cards,4,"How can customers resolve issues with Ekster and Chipolo tracker cards, including charging, connection, and warranty claims?"
ekster,18555ea9-2170-4832-8719-e300ec4d67ca,2024-06-08T14:40:58.862999,"""What should I do if a part of my wallet broke after dropping it?""",True,part wallet broke dropping,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,e01d7451-e83e-4c01-9bbb-90475cc58eac,2024-06-08T14:17:39.552000,"""How can I repair or replace my wallet if the button has stopped working and a plastic tab fell out?""",True,repair replace wallet button stopped working plastic tab fell,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,e01d7451-e83e-4c01-9bbb-90475cc58eac,2024-06-08T14:17:39.552000,"""What can I do if the Returns & Warranty Portal does not recognize my order number for a warranty claim?""",True,returns warranty portal recognize order number warranty claim,0,How can I successfully process a warranty claim or return for a defective product?
ekster,5f65ff9b-1ea9-43cd-a531-f270cdb5392b,2024-06-08T13:52:15.944000,"""How do I get a refund for my malfunctioning wallet that is under a year old?""",True,get refund malfunctioning wallet year old,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,5f65ff9b-1ea9-43cd-a531-f270cdb5392b,2024-06-08T13:52:15.944000,"""Will the shipping costs be covered for the return of my defective wallet?""",True,shipping costs covered return defective wallet,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,be4de321-ab95-4c68-baa1-559522fa4d37,2024-06-08T13:45:55.180000,"""When is my package expected to arrive?""",True,package expected arrive,3,How can I get assistance with a missing or incorrectly delivered package?
ekster,bc5aceed-3e28-4b12-85d1-a521f5312f43,2024-06-08T13:33:58.779999,"""What is the process to repair or replace a wallet that has a malfunctioning card fan-out button?""",True,process repair replace wallet malfunctioning card button,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,8aeacc52-1cce-4da8-b77c-8bfaabee22f0,2024-06-08T13:30:13.871000,"""Why am I receiving multiple daily emails after searching your website?""",False,receiving multiple daily emails searching website,1,How can I resolve issues with incorrect or incomplete wallet orders and unwanted emails?
ekster,7a1760dc-412a-442c-b8aa-aa721a391a3a,2024-06-08T13:26:18.729000,"""How do I change the shipping address for my recent order to my billing address?""",False,change shipping address recent order billing address,5,How can I update or correct shipping and billing addresses for recent orders?
ekster,d197c71f-5c56-4d34-be2f-d1becabfb1d0,2024-06-08T13:10:43.779999,"""Why was my tracking number considered invalid when I submitted it?""",True,tracking number considered invalid submitted,7,What should I do if my tracking number shows the order as delivered but I haven't received it?
ekster,33dbacb1-f007-404b-9cdf-14c603a9507e,2024-06-08T12:36:55.253000,"""Why hasn't my package arrived even though it was shipped?""",True,package arrived even though shipped,3,How can I get assistance with a missing or incorrectly delivered package?
ekster,51815e8a-85b8-48e4-ab37-2511331a6d02,2024-06-08T11:29:00.713999,"""What can be done if the cardholder mechanism in my wallet is not functioning properly, even after adhering to the recommended card limit and cleaning suggestions?""",False,done cardholder mechanism wallet functioning properly even adhering recommended card limit cleaning suggestions,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,14adcaac-fdd0-475a-b1ce-604c3678e4f8,2024-06-08T11:26:18.648999,"""Why does my card fall out of the wallet?""",True,card fall wallet,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,d18329b4-d6f7-4fef-8721-98894f1cc9e5,2024-06-08T10:41:27.678999,"""How can I cancel my order and get a refund if it hasn't been delivered within the expected timeframe?""",False,cancel order get refund delivered within expected timeframe,6,How can customers address issues with applying promotional codes and canceling orders?
ekster,21afbd4d-b561-43d9-866b-a728513bfb25,2024-06-08T10:37:18.812000,"""How can I change the color of an item in my order?""",False,change color item order,9,"How can I check the status or modify my order, including delivery and promotional issues?"
ekster,6fe63ea7-a67e-44d0-88a0-f4e374b05eac,2024-06-08T08:21:17.002000,"""Can you update my shipping address to 1545 Wigwam Pkwy Henderson NV 89074 apt 1321?""",False,update shipping address 1545 wigwam pkwy henderson nv 89074 apt 1321,5,How can I update or correct shipping and billing addresses for recent orders?
ekster,42dc3bf6-d4d5-47fc-bf87-f635acc33b47,2024-06-08T05:46:00.926000,"""Can you cancel my order?""",False,cancel order,6,How can customers address issues with applying promotional codes and canceling orders?
ekster,4c3ba0d8-c1b4-4710-a033-ead58935ce13,2024-06-08T04:39:07.555999,"""Can I get a refund for the duplicate charges on my order?""",False,get refund duplicate charges order,2,What are the steps to return an item and get a refund for a recent order?
ekster,ccbac8b3-095c-4917-84ae-60a9c23ef2e2,2024-06-08T04:36:53.720999,"""What can be done about my replacement item that was reported as delivered but was not found in my mailbox?""",True,done replacement item reported delivered found mailbox,3,How can I get assistance with a missing or incorrectly delivered package?
ekster,f56b3af0-db13-4b9a-a682-2a0ee89430d9,2024-06-08T04:20:42.316999,"""Can I get a replacement for a tracker that won't hold a charge?""",True,get replacement tracker wo hold charge,4,"How can customers resolve issues with Ekster and Chipolo tracker cards, including charging, connection, and warranty claims?"
ekster,5e395cc3-0b6e-4ce1-86d5-b749ed0ab523,2024-06-08T03:26:35.644999,"""Can I order a replacement item and return the original one for a refund instead of doing an exchange?""",True,order replacement item return original one refund instead exchange,2,What are the steps to return an item and get a refund for a recent order?
ekster,5e395cc3-0b6e-4ce1-86d5-b749ed0ab523,2024-06-08T03:26:35.644999,"""Is there a wallet available in carbon fiber, as I only see a cardholder option on the website?""",True,wallet available carbon fiber see cardholder option website,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,3a17b772-d36a-4d0d-bc17-27612239dd71,2024-06-08T03:20:13.589999,"""Can I change the shipping address to match my billing address?""",True,change shipping address match billing address,5,How can I update or correct shipping and billing addresses for recent orders?
ekster,a29cd652-9bf2-43ab-808e-5cbb3d86d390,2024-06-08T02:44:31.351000,"""How can I get a replacement for my non-functioning wallet tracker?""",True,get replacement wallet tracker,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,b52ac517-5818-4194-af6e-bc82ace28466,2024-06-08T02:19:00.624000,"""Can I order the replacement wallet before returning the original one instead of going through the exchange process?""",True,order replacement wallet returning original one instead going exchange process,1,How can I resolve issues with incorrect or incomplete wallet orders and unwanted emails?
ekster,528a7a65-2e83-4e89-b273-934b2a89565a,2024-06-08T02:11:39.236000,"""Why was my order not processed earlier as per the advertised 4 to 6 days delivery promise?""",True,order processed earlier per advertised 4 6 days delivery promise,9,"How can I check the status or modify my order, including delivery and promotional issues?"
ekster,e06ab0ca-3d89-44ea-b579-87186c805b8c,2024-06-08T01:57:43.763999,"""What should I do if the tracking information shows my order as delivered but I have not received it?""",True,tracking information shows order delivered received,7,What should I do if my tracking number shows the order as delivered but I haven't received it?
ekster,e06ab0ca-3d89-44ea-b579-87186c805b8c,2024-06-08T01:57:43.763999,"""Can a new wallet be issued if the ordered item was not received but is marked as delivered?""",True,new wallet issued ordered item received marked delivered,1,How can I resolve issues with incorrect or incomplete wallet orders and unwanted emails?
ekster,1ae2eef9-c908-444a-9ab3-fe2c1583268d,2024-06-08T01:21:34.589999,"""Why was my order not shipped on the promised timeline after I was informed of a 4 to 6-day delivery window?""",True,order shipped promised timeline informed 4 delivery window,9,"How can I check the status or modify my order, including delivery and promotional issues?"
ekster,e2f05b90-cc3d-4992-8167-8283ec9d2cf2,2024-06-08T01:10:48.269000,"""How can I update my delivery address to include my apartment number?""",False,update delivery address include apartment number,5,How can I update or correct shipping and billing addresses for recent orders?
ekster,e22149bb-b18e-4fd7-ae7f-5333bcd5c74d,2024-06-08T00:08:54.253999,"""What should I do if my order was marked as delivered but was not found in my mailbox?""",True,order marked delivered found mailbox,3,How can I get assistance with a missing or incorrectly delivered package?
ekster,0deb0b2b-8d6b-47c6-8a49-16b5f67a3642,2024-06-08T00:08:45.894000,"""What should I do if the tracking shows my order as delivered, but I haven't received it?""",True,tracking shows order delivered received,7,What should I do if my tracking number shows the order as delivered but I haven't received it?
ekster,46ada311-8683-484e-904d-ada579e2bab2,2024-06-07T23:30:39.802999,"""Why is the battery life of the Finder Card not lasting as long as advertised?""",True,battery life finder card lasting long advertised,4,"How can customers resolve issues with Ekster and Chipolo tracker cards, including charging, connection, and warranty claims?"
ekster,46ada311-8683-484e-904d-ada579e2bab2,2024-06-07T23:30:39.802999,"""Can you provide solutions to improve the battery life of the Finder Card or are they defective?""",True,provide solutions improve battery life finder card defective,4,"How can customers resolve issues with Ekster and Chipolo tracker cards, including charging, connection, and warranty claims?"
ekster,321227b7-da34-4fb5-a166-6df189e8331b,2024-06-07T23:29:52.065000,"""Why is my 1-3 day shipment taking 5 days?""",False,day shipment taking 5 days,9,"How can I check the status or modify my order, including delivery and promotional issues?"
ekster,27d56978-4f05-4fc3-bca4-8968d3639005,2024-06-07T23:15:12.565000,"""Is there a warranty or customer service for a wallet that no longer pops up cards when the button is pressed?""",True,warranty customer service wallet longer pops cards button pressed,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,826a779e-78b5-4b4c-90ec-404bee28c9a8,2024-06-07T23:15:08.259000,"""How do I get a refund for my defective wallet that is within the warranty period?""",False,get refund defective wallet within warranty period,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,8d8566d6-ecf4-4c43-937b-9b533a4209a3,2024-06-07T23:02:00.269000,"""Is a broken tracker card under warranty or replaceable?""",True,broken tracker card warranty replaceable,4,"How can customers resolve issues with Ekster and Chipolo tracker cards, including charging, connection, and warranty claims?"
ekster,a49def27-6b1d-4199-8fb3-0f25fd6a603f,2024-06-07T22:47:58.417999,"""Why has my order not been delivered when the tracking states it is at the post office?""",False,order delivered tracking states post office,7,What should I do if my tracking number shows the order as delivered but I haven't received it?
ekster,a49def27-6b1d-4199-8fb3-0f25fd6a603f,2024-06-07T22:47:58.417999,"""How can this delivery issue be addressed?""",False,delivery issue addressed,3,How can I get assistance with a missing or incorrectly delivered package?
ekster,b43932bd-8077-4c59-84ef-99d8f290dc9d,2024-06-07T22:25:15.368000,"""Can I get a replacement order shipped to the correct address due to an error in the listed delivery address?""",False,get replacement order shipped correct address due error listed delivery address,5,How can I update or correct shipping and billing addresses for recent orders?
ekster,89ec8e98-9795-4ece-b629-59df69acd2d3,2024-06-07T22:19:48.911999,"""Why am I being charged an extra fee when exchanging just the wallet from a bundle purchase?""",False,charged extra fee exchanging wallet bundle purchase,1,How can I resolve issues with incorrect or incomplete wallet orders and unwanted emails?
ekster,89ec8e98-9795-4ece-b629-59df69acd2d3,2024-06-07T22:19:48.911999,"""How can I complete an exchange for an item bought as part of a bundle without incurring additional costs?""",False,complete exchange item bought part bundle without incurring additional costs,1,How can I resolve issues with incorrect or incomplete wallet orders and unwanted emails?
ekster,91217173-9e57-457c-afa4-20410c5b0ed4,2024-06-07T22:17:38.947999,"""How can I add a monogram to my order after clicking on a message for free engraving but not seeing the option?""",True,add monogram order clicking message free engraving seeing option,9,"How can I check the status or modify my order, including delivery and promotional issues?"
ekster,87a62855-0015-4f63-9dac-89fd514fbb22,2024-06-07T21:51:56.563999,"""What should I do about a defect in the product I received?""",True,defect product received,0,How can I successfully process a warranty claim or return for a defective product?
ekster,87a62855-0015-4f63-9dac-89fd514fbb22,2024-06-07T21:51:56.563999,"""How do I proceed with an issue regarding sticky adhesive on my new wallet?""",True,proceed issue regarding sticky adhesive new wallet,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,b097c62b-ba17-4c13-885a-f2844521d510,2024-06-07T21:10:49.892999,"""What should I do if the troubleshooting steps provided for the Tracker Card did not resolve the charging issue?""",False,troubleshooting steps provided tracker card resolve charging issue,4,"How can customers resolve issues with Ekster and Chipolo tracker cards, including charging, connection, and warranty claims?"
ekster,afcda81e-4d37-4bc1-b5bf-26d7f4d61d74,2024-06-07T20:45:06.645999,"""Why did I not receive the advertised 40% off offer after subscribing from the advert?""",True,receive advertised 40 offer subscribing advert,9,"How can I check the status or modify my order, including delivery and promotional issues?"
ekster,afcda81e-4d37-4bc1-b5bf-26d7f4d61d74,2024-06-07T20:45:06.645999,"""Can the frequency of emails be reduced as receiving two emails a day is excessive and off-putting?""",True,frequency emails reduced receiving two emails day excessive,1,How can I resolve issues with incorrect or incomplete wallet orders and unwanted emails?
ekster,86989b99-17e2-4359-bf96-4cda97a2b542,2024-06-07T20:42:21.095999,"""Why isn't my Tracker Card charging anymore?""",True,tracker card charging anymore,4,"How can customers resolve issues with Ekster and Chipolo tracker cards, including charging, connection, and warranty claims?"
ekster,c8711c7e-4084-4754-86dc-2b5105a0abae,2024-06-07T20:36:51.071000,"""How do I return a purchase if the US return portal is giving an error message?""",True,return purchase us return portal giving error message,0,How can I successfully process a warranty claim or return for a defective product?
ekster,0a08ba6f-7f80-4e20-beea-87489dc1a249,2024-06-07T20:29:30.302999,"""Is the new wallet tracker no longer solar and can I receive this new model as a replacement?""",True,new wallet tracker longer solar receive new model replacement,4,"How can customers resolve issues with Ekster and Chipolo tracker cards, including charging, connection, and warranty claims?"
ekster,d06fb4fd-c379-4c73-aefd-7fe7d85b9413,2024-06-07T20:26:22.010999,"""Can I personalize the wallet on this order after it has been placed?""",True,personalize wallet order placed,1,How can I resolve issues with incorrect or incomplete wallet orders and unwanted emails?
ekster,d31436f8-19c8-4294-a382-8e3218390d1f,2024-06-07T20:05:52.618000,"""Why can't I track my order with the provided link?""",True,ca track order provided link,7,What should I do if my tracking number shows the order as delivered but I haven't received it?
ekster,4f67ac13-7547-483c-bb3b-2233aa19adab,2024-06-07T19:57:41.249000,"""Is my order on its way or is there another issue going on?""",True,order way another issue going,9,"How can I check the status or modify my order, including delivery and promotional issues?"
ekster,9a9c33d7-4778-4215-b890-69a62ad867d8,2024-06-07T19:53:42.328000,"""Why can't I connect my new Ekster card to the Chipolo app?""",True,ca connect new ekster card chipolo app,4,"How can customers resolve issues with Ekster and Chipolo tracker cards, including charging, connection, and warranty claims?"
ekster,78429c8e-8619-4e32-be94-0cc71b9e8e40,2024-06-07T19:51:45.747999,"""How can I change the shipping address after placing an order?""",True,change shipping address placing order,5,How can I update or correct shipping and billing addresses for recent orders?
ekster,0e106f77-3260-478b-88b4-d8088b7432bc,2024-06-07T19:32:42.411999,"""What should I do if the trigger on my wallet stopped functioning?""",True,trigger wallet stopped functioning,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,85e704ab-29ad-44a5-876a-cf7cb7e4912c,2024-06-07T19:25:04.645999,"""Why is there no Estimated Time of Arrival (ETA) for my order besides a tracking link?""",True,estimated time arrival eta order besides tracking link,7,What should I do if my tracking number shows the order as delivered but I haven't received it?
ekster,85e704ab-29ad-44a5-876a-cf7cb7e4912c,2024-06-07T19:25:04.645999,"""Why has my order traveled all over the East Coast without arriving at my house?""",True,order traveled east coast without arriving house,9,"How can I check the status or modify my order, including delivery and promotional issues?"
ekster,9f15d5bb-fd2d-413d-a9df-8721d7337bea,2024-06-07T19:19:43.174999,"""Can you give me an update on my order shipment?""",True,give update order shipment,9,"How can I check the status or modify my order, including delivery and promotional issues?"
ekster,bf254df5-960f-426c-87f2-66928cedd4d6,2024-06-07T19:08:43.262000,"""Why has my order not been delivered?""",True,order delivered,9,"How can I check the status or modify my order, including delivery and promotional issues?"
ekster,3da26153-0432-4771-8acd-1cc1c0728953,2024-06-07T18:52:09.506000,"""What should I do if the wallet I purchased is no longer securely holding cards?""",True,wallet purchased longer securely holding cards,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,0d6f29c0-68a9-4222-bd44-336151360a77,2024-06-07T18:43:37.657000,"""Can I add engraving to my existing order or should I cancel and reorder?""",False,add engraving existing order cancel reorder,6,How can customers address issues with applying promotional codes and canceling orders?
ekster,0d6f29c0-68a9-4222-bd44-336151360a77,2024-06-07T18:43:37.657000,"""How can I modify my order to include a personal engraving?""",False,modify order include personal engraving,9,"How can I check the status or modify my order, including delivery and promotional issues?"
ekster,c33aebfe-3059-4317-bc78-e0984cb24ee6,2024-06-07T18:40:01.676000,"""Why did I receive an error when attempting to file a claim through the Returns and Warranty Portal?""",True,receive error attempting file claim returns warranty portal,0,How can I successfully process a warranty claim or return for a defective product?
ekster,c7d01ea8-1889-4c4d-9906-d5007e89e529,2024-06-07T18:20:06.694999,"""Why is my Ekster Tracker not charging and how can I get a replacement?""",True,ekster tracker charging get replacement,4,"How can customers resolve issues with Ekster and Chipolo tracker cards, including charging, connection, and warranty claims?"
ekster,239498fd-982f-4ce7-b67b-c6073f49c71a,2024-06-07T18:14:53.811000,"""How do I return a defective wallet without a number in or on the cardholder?""",True,return defective wallet without number cardholder,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,391fda0e-1802-4074-99c8-29c6357917e2,2024-06-07T18:04:41.256000,"""Is it recommended to use oil to fix a sticking button on my wallet?""",True,recommended use oil fix sticking button wallet,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,72ff9144-53d2-4e41-9cca-e0f714d13243,2024-06-07T17:57:51.223000,"""Can I ship my order back for engraving if I pay the difference?""",True,ship order back engraving pay difference,9,"How can I check the status or modify my order, including delivery and promotional issues?"
ekster,debc3d55-0145-4cd4-a6c6-39252cc5f3f5,2024-06-07T17:56:52.647000,"""Why is my order taking so long to arrive?""",True,order taking long arrive,9,"How can I check the status or modify my order, including delivery and promotional issues?"
ekster,1d6bc0e2-ceaf-4e7a-ae3f-f93c3864d2f2,2024-06-07T17:56:16.752000,"""Why was my tracking number not recognized by the email tracking service?""",True,tracking number recognized email tracking service,7,What should I do if my tracking number shows the order as delivered but I haven't received it?
ekster,96f5075e-f1c4-4e28-8e39-cc3ea0985425,2024-06-07T17:17:33.779999,"""Why is my tracking showing the package is in town, but the post office says it hasn't arrived?""",False,tracking showing package town post office says arrived,3,How can I get assistance with a missing or incorrectly delivered package?
ekster,b4b2fb3f-3403-417b-8886-26d0f71ab491,2024-06-07T17:16:32.611000,"""Can my keys button and solar card for wallet tracking be replaced under warranty?""",True,keys button solar card wallet tracking replaced warranty,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,b1dbb9c9-30c2-44e4-8ce4-71501ff5d7ed,2024-06-07T17:12:06.733999,"""Why am I having trouble using my gift card on your website?""",True,trouble using gift card website,4,"How can customers resolve issues with Ekster and Chipolo tracker cards, including charging, connection, and warranty claims?"
ekster,9b0b160c-2749-4bdf-890f-b803833e049f,2024-06-07T17:03:58.878999,"""Why was my order canceled without my consent and how can we resolve it?""",False,order canceled without consent resolve,6,How can customers address issues with applying promotional codes and canceling orders?
ekster,9b0b160c-2749-4bdf-890f-b803833e049f,2024-06-07T17:03:58.878999,"""Can you assist with the discrepancy between my bank account charge and Affirm not showing the charge?""",False,assist discrepancy bank account charge affirm showing charge,4,"How can customers resolve issues with Ekster and Chipolo tracker cards, including charging, connection, and warranty claims?"
ekster,9b0b160c-2749-4bdf-890f-b803833e049f,2024-06-07T17:03:58.878999,"""How can I ensure I receive the Eclipse card holder, free money clip grip, and Android trackable card from my canceled order?""",False,ensure receive eclipse card holder free money clip grip android trackable card canceled order,4,"How can customers resolve issues with Ekster and Chipolo tracker cards, including charging, connection, and warranty claims?"
ekster,2c1f4bf6-9cf8-4f31-848b-e6b60b55fab0,2024-06-07T16:42:01.278000,"""Why is my tracker card not working after 4 to 5 months and will it be replaced?""",True,tracker card working 4 5 months replaced,4,"How can customers resolve issues with Ekster and Chipolo tracker cards, including charging, connection, and warranty claims?"
ekster,8c341163-60b6-4277-8ceb-0a3725fc9d76,2024-06-07T16:38:54.365999,"""Why isn't the leather steel blue wallet on sale like the aluminum version when using a discount code?""",True,leather steel blue wallet sale like aluminum version using discount code,1,How can I resolve issues with incorrect or incomplete wallet orders and unwanted emails?
ekster,44a2486a-6f37-45b2-bde6-f99c31c78590,2024-06-07T16:20:44.660000,"""When will I receive my order?""",True,receive order,9,"How can I check the status or modify my order, including delivery and promotional issues?"
ekster,49e0e65a-2ac1-4d96-b51d-fc6df94eabc4,2024-06-07T15:51:49.122999,"""Why is the sound function on my Chipolo tracker not working even after fully charging it?""",True,sound function chipolo tracker working even fully charging,4,"How can customers resolve issues with Ekster and Chipolo tracker cards, including charging, connection, and warranty claims?"
ekster,9ba2aa13-a8d1-46b8-ac09-7ddd95c721b9,2024-06-07T15:40:40.677999,"""How can I purchase replacement rubber bands for my cardholder?""",True,purchase replacement rubber bands cardholder,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,dd9f8a37-8fce-4cc8-81ab-e06fa2abe746,2024-06-07T15:29:23.437000,"""Is there a way to process my warranty claim through email if the online form is not working?""",False,way process warranty claim email online form working,0,How can I successfully process a warranty claim or return for a defective product?
ekster,dd9f8a37-8fce-4cc8-81ab-e06fa2abe746,2024-06-07T15:29:23.437000,"""How can I provide proof of the issue for my warranty claim if the problem with the item is internal and not visible?""",False,provide proof issue warranty claim problem item internal visible,0,How can I successfully process a warranty claim or return for a defective product?
ekster,4aab24ba-49df-4288-822b-06e7bc935a23,2024-06-07T15:14:01.687999,"""Why isn't the solar locator card charging and is this a warranty issue?""",True,solar locator card charging warranty issue,4,"How can customers resolve issues with Ekster and Chipolo tracker cards, including charging, connection, and warranty claims?"
ekster,4aab24ba-49df-4288-822b-06e7bc935a23,2024-06-07T15:14:01.687999,"""How do I submit a warranty claim if the Returns & Warranty Portal is not working?""",True,submit warranty claim returns warranty portal working,0,How can I successfully process a warranty claim or return for a defective product?
ekster,4aab24ba-49df-4288-822b-06e7bc935a23,2024-06-07T15:14:01.687999,"""Can I complete the warranty process via email?""",True,complete warranty process via email,0,How can I successfully process a warranty claim or return for a defective product?
ekster,3c1a7f45-f1c2-4228-bff6-03b2dcb95fd4,2024-06-07T14:31:46.555000,"""Is the malfunctioning Ekster solar locator card covered under warranty?""",True,malfunctioning ekster solar locator card covered warranty,4,"How can customers resolve issues with Ekster and Chipolo tracker cards, including charging, connection, and warranty claims?"
ekster,26303859-3db1-4c62-b805-9851dc203fcd,2024-06-07T14:15:03.236000,"""How can I get the missing item from my order delivered?""",False,get missing item order delivered,3,How can I get assistance with a missing or incorrectly delivered package?
ekster,9c33e0a9-1b3a-4d94-bd06-928357f94389,2024-06-07T14:08:54.138000,"""Can I return an item for repair or replacement if it was a gift and I don't have the order number?""",False,return item repair replacement gift order number,2,What are the steps to return an item and get a refund for a recent order?
ekster,3b45c024-50ef-433a-96be-e2c563ebbcf3,2024-06-07T13:52:00.943000,"""How can I obtain a return label for my order if it wasn't provided in the return portal?""",False,obtain return label order provided return portal,2,What are the steps to return an item and get a refund for a recent order?
ekster,58220660-ff1f-4e89-ba3d-a11ee7e3cb16,2024-06-07T13:48:32.368000,"""How do I proceed with returning an item for a complete refund instead of an exchange?""",True,proceed returning item complete refund instead exchange,2,What are the steps to return an item and get a refund for a recent order?
