gorgiasdomain,executionid,timestamp,summarize_question,automated
psychobunny,ff6af666-af42-481b-8795-c5fb0f866a77,2024-06-08T15:19:13.566999,"""Why was my order cancelled for the second time?""",false
psychobunny,9f733bdc-ee26-43cf-9a62-dbcf45ccef13,2024-06-08T14:24:08.928999,"""What is the status of my claim related to my order?""",true
psychobunny,a4d9e36a-2078-456f-b9d0-a25d52518902,2024-06-08T13:46:22.361000,"""How can I track my shipment without spending hours on hold?""",true
psychobunny,a4d9e36a-2078-456f-b9d0-a25d52518902,2024-06-08T13:46:22.361000,"""What is the updated shipping status of my order?""",true
psychobunny,1e0d8c22-eb89-4292-b7b9-e291f1655052,2024-06-08T13:44:27.556999,"""Why have I only received one shirt from my order when I purchased four?""",true
psychobunny,1e0d8c22-eb89-4292-b7b9-e291f1655052,2024-06-08T13:44:27.556999,"""Where is the rest of my order after only receiving one shirt?""",true
psychobunny,bd952a93-4e5b-4ac2-8d3e-3eb6ff4441cb,2024-06-08T13:39:00.937999,"""Why is there no record of my item in the tracking system?""",false
psychobunny,bd952a93-4e5b-4ac2-8d3e-3eb6ff4441cb,2024-06-08T13:39:00.937999,"""Can you provide the expected delivery date for my item by FedEx?""",false
psychobunny,f9813f66-3f69-45fa-ac46-9c9a88618507,2024-06-08T13:15:07.490999,"""Will the missing item from my recent order be shipped separately?""",false
psychobunny,4bf063e2-8707-41ab-a457-b75a98836429,2024-06-08T13:03:56.716000,"""Was the promotional item included in my order that qualified for it?""",false
psychobunny,8b1e1552-96d4-4f77-8c43-9dad59d8f958,2024-06-08T13:03:28.157999,"""How do I return an item from my order?""",true
psychobunny,c3f2ea38-ee93-421c-8994-31799427f050,2024-06-08T13:02:45.986000,"""How can I return an item I purchased online?""",true
psychobunny,1ae56ea6-637c-414a-907d-7b4e973844c5,2024-06-08T13:02:44.349999,"""How can I return an item from my recent order?""",true
psychobunny,495dbc80-9754-4efc-8354-afe88c54894b,2024-06-08T13:02:29.684999,"""How do I return a pair of board shorts from my order?""",true
psychobunny,d0509890-be30-4803-b1c3-448856a2786f,2024-06-08T13:02:21.766000,"""How can I return a pair of board shorts I ordered?""",true
psychobunny,3b68fe61-c6ff-4ddb-8798-d4feff643908,2024-06-08T12:30:46.582999,"""Were the golf balls included in my recent order?""",true
psychobunny,98a41cbc-15ae-41ec-b184-cad4453c826b,2024-06-08T11:21:18.813999,"""When will my order be shipped to ensure it arrives before the specified date?""",false
psychobunny,5a9808f5-1678-48af-b634-b83f5a521a03,2024-06-08T11:15:09.780999,"""Can my order be expedited to arrive by this weekend?""",false
psychobunny,94279a99-4371-4c69-b4c4-8431806f83cc,2024-06-08T10:50:35.559000,"""Is there an issue with my order's delivery time?""",false
psychobunny,8b9a39f8-b482-43d6-8270-0faa631716f8,2024-06-08T09:08:49.871000,"""Did I receive a refund after canceling my order?""",true
psychobunny,c7c453b0-4e0e-4bd0-a845-2b92f58518c6,2024-06-08T08:51:43.023999,"""How can I cancel my order?""",false
psychobunny,e573491c-2378-40a2-b5df-09b3d2da616a,2024-06-08T07:50:38.303999,"""How can I resolve an issue with a package marked as delivered but not received?""",false
psychobunny,e573491c-2378-40a2-b5df-09b3d2da616a,2024-06-08T07:50:38.303999,"""What steps should I take if the postal carrier has potentially delivered my package to the wrong address?""",false
psychobunny,13a5b95d-5be9-4dcf-b182-9276c4d0f956,2024-06-08T07:29:07.230999,"""Why was my order not completely delivered?""",true
psychobunny,86fb536b-9745-41fb-b41a-2ac85712444d,2024-06-08T07:28:19.936000,"""Why was my order not completely delivered?""",false
psychobunny,75f84dce-0f98-44be-b04c-eaa9231a8734,2024-06-08T05:24:09.825999,"""¿Por qué mi pedido preparado para pago ya no está disponible?""",true
psychobunny,75f84dce-0f98-44be-b04c-eaa9231a8734,2024-06-08T05:24:09.825999,"""¿Puede ayudarme a recuperar mi pedido que ya no aparece en el sistema?""",true
psychobunny,75f84dce-0f98-44be-b04c-eaa9231a8734,2024-06-08T05:24:09.825999,"""¿Cómo puedo asegurarme de que mi pedido de $169 por 3 prendas esté listo para pago?""",true
psychobunny,42168801-18b6-4afe-a38e-d74684b79861,2024-06-08T05:24:04.529000,"""How can I cancel and refund an accidental purchase?""",false
psychobunny,147d504b-3ef4-42fc-b672-b64d4dd245e0,2024-06-08T05:22:48.111999,"""Why is my ready-to-pay order from yesterday no longer available and can you assist me?""",true
psychobunny,a5814e05-ce78-4269-977e-73581739bd4a,2024-06-08T05:21:43.365999,"""How can I cancel an accidental purchase?""",false
psychobunny,450a1e33-3b17-45d5-81ef-76db1c561c86,2024-06-08T05:14:34.213999,"""Can you provide the tracking number for my order?""",true
psychobunny,64f719ea-568e-4f29-a425-fdb82ddbb0a1,2024-06-08T04:13:21.046999,"""How do I return a pair of pants if I cannot log into the website with my password and no reset email is received?""",true
psychobunny,64f719ea-568e-4f29-a425-fdb82ddbb0a1,2024-06-08T04:13:21.046999,"""What should I do if the guest checkout option does not recognize my order code for a return?""",true
psychobunny,e0227866-bbc6-4ff6-87e4-5f0b58ebd99a,2024-06-08T03:58:24.967000,"""Why is my card from Shopify not working?""",false
psychobunny,11cd1569-3760-4331-864f-7bf924717b1f,2024-06-08T03:47:12.591000,"""How can I return an item that didn't fit?""",true
psychobunny,7626ec8b-2d70-4648-810c-5480b0792ce2,2024-06-08T03:41:39.543999,"""How can I get a discount on my purchase?""",false
psychobunny,ccfd3bd4-b2aa-4e0b-9d81-58fbee68139e,2024-06-08T03:30:07.746000,"""Can you call me as soon as possible regarding my order?""",true
psychobunny,df831aa3-fec5-46b1-bc62-aabfdc48ecfa,2024-06-08T03:28:18.479000,"""Why can't I process my return online even though I followed the provided instructions?""",false
psychobunny,f2223bee-e879-4d30-b5e2-30463619b78e,2024-06-08T03:24:22.867000,"""Why does the system not recognize my order number when I attempt to process a return?""",true
psychobunny,96389362-3e30-4595-bea6-280849e2fde9,2024-06-08T03:24:21.677999,"""Why does it show 'order number id not found' when I attempt to process a return online?""",false
psychobunny,8271c1f4-0f8b-4450-b2fc-f64b9e111e3d,2024-06-08T03:13:22.392999,"""Why hasn't my order for a sweater been delivered after 3 business days?""",false
psychobunny,07972c43-5cd5-4048-9b44-37ad5101a408,2024-06-08T03:13:19.187000,"""Why has my ordered sweater from Psycho Bunny not been delivered within the stated time frame?""",true
psychobunny,48c429b2-d2a7-4e5c-95e9-ddec615e7b22,2024-06-08T03:13:16.913000,"""Why hasn't my order arrived even after three business days?""",true
psychobunny,d73968c7-0515-4268-9899-19faef3de46f,2024-06-08T03:04:22.665999,"""What should I do if I did not receive an order that was marked as delivered?""",true
psychobunny,dc71e02c-d656-4e45-a2fb-c9460aad9d85,2024-06-08T02:57:30.638999,"""What is the status of the missing shirt from my order placed with after pay?""",true
psychobunny,ff978f69-fe77-45ed-bff4-8ca201cb5df7,2024-06-08T02:55:50.431999,"""Why did my order only include the shorts when I expected a cap as well?""",true
psychobunny,a94f0874-378e-49c2-bed2-16a328cbd768,2024-06-08T02:50:34.332000,"""Why is the ordering form not accepting my address?""",false
psychobunny,b22d30a1-19b5-4159-b73b-6f2c7e859cd5,2024-06-08T02:39:40.483000,"""What should I do if I haven't received all the items from my order?""",true
psychobunny,0828d58f-c6d1-4ed0-89d1-1dcf6f54e9f1,2024-06-08T02:33:27.944000,"""How can I return a product online if the system is not allowing me?""",true
psychobunny,aa2ada3e-d792-495f-9a7b-e31794140573,2024-06-08T02:32:55.923000,"""Why was I asked to rate the service when my issue is unresolved?""",true
psychobunny,3145ab49-b203-43a4-b503-1d6f2ed18104,2024-06-08T02:23:58.556999,"""How can I update the shipping address for my order?""",false
psychobunny,38c6bc16-41fe-4197-ac2f-6d5bf7307dec,2024-06-08T02:11:32.502000,"""Can you help me find out where my package was delivered since it was not at my home?""",true
psychobunny,2fb18a25-9640-44ea-bf56-03d7e81ed00a,2024-06-08T02:07:07.023000,"""Why haven't I received all my shirts? I am missing two.""",false
psychobunny,eae9d60e-0e53-4102-bfbe-3ad90ef6d327,2024-06-08T01:54:34.832999,"""How do I return an item that doesn't fit when the system says order not found?""",false
psychobunny,4559c49e-60fd-40ec-acda-be4af45ef1af,2024-06-08T01:52:46.766999,"""How can I change my delivery option from standard to express?""",true
psychobunny,a4aa77f4-03e4-4980-8dae-e855633c1e09,2024-06-08T01:46:41.286000,"""Can you redirect my package to my new address?""",true
psychobunny,9b001ddd-52b4-4bd1-862c-aeeb0cd6d093,2024-06-08T01:46:38.295000,"""Can you please update the shipping address for my recent order?""",true
psychobunny,45e4bd90-2b37-4e5c-a5ec-c31a5d859249,2024-06-08T01:40:05.542000,"""Can I change the color of an item in my order to a different shade of green after placing the order?""",false
psychobunny,14829c00-4449-48c7-9b65-9bf0129faa9a,2024-06-08T01:38:09.857000,"""How can I return items if the system cannot find me?""",true
psychobunny,b0933826-fcc9-4b11-b93c-6c8cacdf3c9d,2024-06-08T01:34:50.786000,"""Is my second shirt from the order shipped separately and what is its tracking number?""",true
psychobunny,fe078f08-f1b1-4eb5-9eba-9e22e26af2ce,2024-06-08T01:32:27.928999,"""Why is the product quality so poor after the first use?""",true
psychobunny,9cb6d197-0655-4ba1-bb4f-55d9b1526ac7,2024-06-08T01:29:45.186000,"""What should I do if my order was marked as delivered but I haven't received it?""",true
psychobunny,861ee0d5-7ba2-494a-8fab-6a8de17923b0,2024-06-08T01:28:42.375000,"""Why haven't I received my package as indicated by the delivery notification?""",true
psychobunny,d0c36c55-8fea-4647-acd3-0b816cac8011,2024-06-08T01:19:10.213999,"""Why was I charged for golf balls that were advertised as no charge on the website?""",false
psychobunny,0f7256e7-441f-44f8-b898-16f78a7b6471,2024-06-08T01:15:39.375000,"""What is the procedure for updating a shipping address for an order?""",true
psychobunny,b5751a73-f674-4606-aee8-30154d85a320,2024-06-08T01:15:02.029000,"""Why is my order still incomplete and when can I expect a refund for the unshipped items?""",false
psychobunny,5df61294-118f-45a6-a188-851add32b473,2024-06-08T00:36:17.388999,"""Why haven't I received a tracking number for my order?""",true
psychobunny,e4c0f299-f19f-4633-ad0f-43ae8c059bb9,2024-06-08T00:10:26.055000,"""Why am I missing items from my order?""",true
psychobunny,7de4586d-48c5-44eb-8dee-2de67abd3ff6,2024-06-08T00:06:14.473999,"""Can someone call me today regarding my order?""",true
psychobunny,0b06642d-6dbd-4990-855f-da9682b3e209,2024-06-08T00:05:20.332000,"""When will my package be delivered?""",true
psychobunny,0b06642d-6dbd-4990-855f-da9682b3e209,2024-06-08T00:05:20.332000,"""Why is there a discrepancy in the delivery dates for my two packages?""",true
psychobunny,0b06642d-6dbd-4990-855f-da9682b3e209,2024-06-08T00:05:20.332000,"""Where is my package currently located?""",true
psychobunny,d12f5233-07ab-4f4f-9b06-b5ce59ee4d3e,2024-06-08T00:03:06.303999,"""Can someone call me to discuss my order?""",true
psychobunny,4ced53e8-f4cf-4ba8-a58f-82ed6cdc6caa,2024-06-07T23:51:55.687000,"""What should I do if the package status shows delivered but I have not received it?""",true
psychobunny,4ced53e8-f4cf-4ba8-a58f-82ed6cdc6caa,2024-06-07T23:51:55.687000,"""How can I resolve the issue of a missing package that shows as delivered on tracking?""",true
psychobunny,0b447664-cd97-4e38-a840-4c8c4a681b3f,2024-06-07T23:48:33.164999,"""Why haven't I received my package yet?""",true
psychobunny,1aa44ab4-b5a9-4013-bdd6-3ee78476a1f1,2024-06-07T23:39:59.243999,"""Was my black tee shipped separately from my other items as it was not included in the package I received?""",true
psychobunny,8e517d6b-1686-431a-b46f-696760a5645b,2024-06-07T23:39:44.589999,"""Why was I charged for an item I thought was free and want to be removed from my order?""",false
psychobunny,406ee277-b005-4a9c-ba19-5a89cd4fff35,2024-06-07T23:31:56.101000,"""Why was my order cancelled for the second time and what can I do to successfully place it?""",false
psychobunny,15c8db8d-89dc-404d-8ac9-2448b765160f,2024-06-07T23:17:48.727999,"""Where is my order?""",true
psychobunny,80e6c4e5-b1c9-40c9-81d3-4b6d4cf7d2e1,2024-06-07T23:16:34.746999,"""Why have I not received the T-shirts from my order when the status shows as fulfilled?""",false
psychobunny,b342ee79-a585-4a11-8c7d-dd2b961ae471,2024-06-07T22:54:56.878999,"""How can I update the billing address for my order?""",true
psychobunny,bbc87ed3-4826-4d3c-8b75-98e1ed45cb66,2024-06-07T22:47:32.976999,"""How can I exchange an item for a size 3XL?""",true
psychobunny,f5143133-11ac-40d3-8a49-b77868a309a1,2024-06-07T22:46:24.480999,"""Is my order going to be delivered?""",true
psychobunny,c5823f9b-c258-4074-810c-7a65722356d7,2024-06-07T22:44:04.645999,"""What are the operating hours for telephone customer service?""",false
psychobunny,754b88bd-78da-4e68-aeb7-84889c221246,2024-06-07T22:26:53.068000,"""Can I exchange items for a larger size?""",true
psychobunny,dc2e5879-14b9-450a-ab06-f3dc4f67d603,2024-06-07T22:04:19.947999,"""Why are items missing from my order?""",true
psychobunny,e925eb32-fe88-4099-ba0b-48b66f83bbe7,2024-06-07T21:51:16.924000,"""How do I process a return for a product that doesn't fit?""",true
psychobunny,1286b12d-7195-4fe8-a8d4-83e93d3e00db,2024-06-07T21:47:18.250000,"""Why has no one responded to my calls and email, and how can I speak to an agent?""",true
psychobunny,c2a770db-9400-46fb-a944-39a167ab3b5d,2024-06-07T21:46:23.243999,"""Why can't I see the tracking for my order?""",true
psychobunny,bdbaf7b7-96c5-4f0e-b47b-7247225bf07d,2024-06-07T21:26:15.325000,"""Why are the three shirts I was expecting in my order missing even after customer service confirmed their delivery?""",false
psychobunny,bdbaf7b7-96c5-4f0e-b47b-7247225bf07d,2024-06-07T21:26:15.325000,"""Can you track the shipment with the provided tracking number to determine the status of the missing shirts?""",false
psychobunny,53fa7c3e-91fa-429a-9a61-828afd2ae0f3,2024-06-07T21:08:21.898000,"""What is the store's policy for exchanging an item that is too small?""",false
psychobunny,53fa7c3e-91fa-429a-9a61-828afd2ae0f3,2024-06-07T21:08:21.898000,"""Is it possible to get a refund for a product if there are no larger sizes available?""",false
psychobunny,53fa7c3e-91fa-429a-9a61-828afd2ae0f3,2024-06-07T21:08:21.898000,"""How can I process an exchange or return for a product that doesn't fit?""",false
psychobunny,0ccc5d1e-33ac-4f50-8e63-6e7b79163a0d,2024-06-07T20:35:00.160000,"""Need assistance in Spanish""",true
psychobunny,0ccc5d1e-33ac-4f50-8e63-6e7b79163a0d,2024-06-07T20:35:00.160000,"""Can Customer Service provide support in Spanish?""",true
psychobunny,baa65dd7-b554-4c19-a093-bbac67548947,2024-06-07T20:34:37.150000,"""¿Cómo puedo recibir asistencia en español respecto a mi pedido de Psycho Bunny que ha sido enviado?""",true
psychobunny,0d95832d-46c9-4d05-b6f9-5a24b31eca16,2024-06-07T20:24:55.375999,"""How do I return items that don't fit and are duplicates of what my son already has?""",true
psychobunny,4112875d-a8fa-45f5-b696-976874541685,2024-06-07T20:24:18.177999,"""Was my order sent separately since I only received one of the two items?""",true
psychobunny,4112875d-a8fa-45f5-b696-976874541685,2024-06-07T20:24:18.177999,"""What should I do if part of my order is missing?""",true
psychobunny,4112875d-a8fa-45f5-b696-976874541685,2024-06-07T20:24:18.177999,"""Will the missing item from my order be shipped separately or is there an error?""",true
psychobunny,2666209b-a6c6-4780-8ddb-002d15b684e7,2024-06-07T20:13:50.398999,"""Why have the three shirts I was missing from my order not been included in the package I received?""",true
psychobunny,2666209b-a6c6-4780-8ddb-002d15b684e7,2024-06-07T20:13:50.398999,"""What can be done to resolve the issue of the missing shirts from my order?""",true
psychobunny,b3067de5-a22a-4cb4-b3d8-1a0ac7cb9d03,2024-06-07T20:06:57.387000,"""Did I include the PO BOX number in my shipping address for my order?""",false
psychobunny,69d1fb6c-6121-48e8-a811-6eebbbbb9f75,2024-06-07T20:05:33.815999,"""How do I change my shipping address after placing an order using Apple Pay?""",false
psychobunny,b9ef2b54-2ad1-4f92-a1e5-d2f6b442dae7,2024-06-07T20:03:21.607000,"""What should I do if my order shows as delivered but I didn't receive it?""",true
psychobunny,e50a9c6a-b115-4b03-85e6-4aa17880795a,2024-06-07T19:59:26.641000,"""Why has part of my order not arrived, such as the 2 polos and shorts?""",true
psychobunny,d7038f14-8087-42d9-8356-6580cbafaafd,2024-06-07T19:39:45.233000,"""Why was only one shirt delivered when my order included multiple items?""",true
psychobunny,1b7b2740-296f-49ba-8d6b-2c0364dcd8bc,2024-06-07T19:32:19.966000,"""I have not received my package and would like a refund.""",false
psychobunny,22d0a6a7-6015-4d9a-a277-358d0020d0f2,2024-06-07T19:20:47.884999,"""What can I do if an item is missing from my order?""",true
psychobunny,22d0a6a7-6015-4d9a-a277-358d0020d0f2,2024-06-07T19:20:47.884999,"""Can the missing item be sent to me again?""",true
psychobunny,8aa958f0-a543-44ec-882f-4e32715ca818,2024-06-07T19:14:01.380000,"""How do I return items if the online return portal is unavailable?""",false
psychobunny,1f060f67-8038-48e1-b788-5eede5f1dbcb,2024-06-07T19:09:11.706000,"""How can I return the shirts that don't fit?""",true
psychobunny,3fa50f5d-593a-4fec-8556-5038521071b5,2024-06-07T19:08:45.375999,"""What is the status of the other two polo shirts from my order?""",true
psychobunny,583384c6-2f56-4b86-b29f-8a4cc53d270a,2024-06-07T19:06:07.203000,"""Can I change the delivery location for my shirt as I entered the wrong address?""",false
psychobunny,79074616-f704-4489-923f-a77f2f2f0296,2024-06-07T19:06:01.700000,"""Can I change the delivery location of my order due to an incorrect address?""",false
psychobunny,4a70adee-4b51-4c9d-8ecf-be3e1908ee23,2024-06-07T19:04:46.023999,"""Can my order be delivered today, or can it be canceled and the express fee refunded?""",false
psychobunny,a2b528e0-4455-4901-9931-8de324eb497a,2024-06-07T19:03:01.987999,"""Can you provide an update on the rest of my order?""",false
psychobunny,a2b528e0-4455-4901-9931-8de324eb497a,2024-06-07T19:03:01.987999,"""Why have I only received partial shipment of my order?""",false
psychobunny,a2b528e0-4455-4901-9931-8de324eb497a,2024-06-07T19:03:01.987999,"""When will the remaining items in my order be delivered?""",false
psychobunny,a2b528e0-4455-4901-9931-8de324eb497a,2024-06-07T19:03:01.987999,"""Can you expedite the delivery of my missing items?""",false
psychobunny,39e9f194-f79a-4e1f-bcff-f018c5582b3c,2024-06-07T18:55:11.381000,"""How do I return an incorrectly shipped item and receive the correct one I ordered?""",false
psychobunny,524b76ce-df6f-4879-9282-899597d7ceaf,2024-06-07T18:52:08.319000,"""Why have I not received my full order?""",true
psychobunny,524b76ce-df6f-4879-9282-899597d7ceaf,2024-06-07T18:52:08.319000,"""What happened to the items that are missing from my order?""",true
psychobunny,a9edb2be-ce45-4a05-9692-3226babe5aa4,2024-06-07T18:50:52.664000,"""Why is my order incomplete?""",true
psychobunny,76d8f5d3-2bb6-49eb-b62f-fe98e436cdff,2024-06-07T18:50:24.401999,"""How can I exchange an item for a different size because it is too small?""",true
psychobunny,a90ab6b3-1a59-467f-9c7c-07a7a7e302f7,2024-06-07T18:27:20.316999,"""Why hasn't my order arrived yet?""",true
psychobunny,0351bf8d-c442-447b-bb58-b635fa1c9070,2024-06-07T18:25:39.750999,"""Why is the UPS tracking status unchanged, and why has the order not been received?""",true
psychobunny,a9352ae1-8946-46d0-b05f-50462439b9be,2024-06-07T18:16:47.755000,"""What is the status of my order?""",true
psychobunny,6801bffb-305e-414b-8187-09f586a371ae,2024-06-07T18:13:55.996999,"""What information can you provide about my recent order?""",true
psychobunny,e749640d-ea2a-410c-99e2-0e1f77708749,2024-06-07T18:11:04.838999,"""How do I cancel my reorder and get a refund instead?""",false
psychobunny,b5a57290-3b1c-44f5-97d1-b2fefa74195d,2024-06-07T18:04:10.868000,"""How can I cancel an order that I mistakenly placed?""",false
psychobunny,44e70405-4c8b-47e2-b2ff-5b635ef742c5,2024-06-07T17:45:33.111999,"""How can I initiate a return for a product I purchased?""",true
psychobunny,f34a971b-9e68-4f39-803e-33e06d3389f1,2024-06-07T17:44:12.526000,"""Does my order include a gift bag with the store's logo?""",true
psychobunny,8b47dc88-fa7b-4b33-bb87-d56378096404,2024-06-07T17:41:30.671000,"""Does my order include a gift bag with your logo on it for Father's Day?""",false
psychobunny,3ec4992d-d962-48f6-bc53-5493e5c65037,2024-06-07T17:32:49.239000,"""Can my shipping address be updated for a recent order I placed?""",true
psychobunny,b588165a-be2c-4a67-8b76-3b8073d4e18f,2024-06-07T17:31:30.963000,"""Can I bring items to the mall for a refund and exchange rather than using the online return portal?""",true
psychobunny,7a30bd83-6700-4923-8eac-c9ebfba5e251,2024-06-07T17:28:38.423000,"""Has my order been shipped?""",true
psychobunny,a9db8612-c6da-4d42-8cc0-bce7ff39303a,2024-06-07T17:25:46.227999,"""Why can't I track my package with the provided tracking number?""",false
psychobunny,f6743459-82d0-453a-8242-6934e550f2ab,2024-06-07T17:18:54.092000,"""What is the current status of my request that was under review?""",false
psychobunny,a4df2668-ecbb-4bcc-8565-9ec7091ae866,2024-06-07T17:18:31.809000,"""Why haven't I received my order?""",false
psychobunny,f26eb607-a8eb-432b-86af-b3fc58ce2b97,2024-06-07T17:12:23.601999,"""Why can't I track my order?""",true
psychobunny,6396b42c-0716-43f6-b7b2-eebfac66d96d,2024-06-07T16:51:15.676000,"""Why has my order not arrived?""",true
psychobunny,68e7420d-50fe-4dd4-ab94-ef749f2e549a,2024-06-07T16:51:03.530999,"""Can you provide the ETA for my order that has not arrived by the expected date?""",false
psychobunny,68e7420d-50fe-4dd4-ab94-ef749f2e549a,2024-06-07T16:51:03.530999,"""Why hasn't the tracking information for my order been updated since the initial shipping dates?""",false
psychobunny,68e7420d-50fe-4dd4-ab94-ef749f2e549a,2024-06-07T16:51:03.530999,"""Could my order be stuck in customs as there have been no updates and it's past the delivery window?""",false
psychobunny,3e46a204-4f9b-4b75-9cf0-a314cf21af6d,2024-06-07T16:47:06.385999,"""What is the estimated time of arrival for my order?""",true
psychobunny,91845df9-8149-45b0-b95d-488593b9d50c,2024-06-07T16:43:46.782000,"""Why is my package not out for delivery when the scheduled delivery date is today?""",true
psychobunny,c780be61-9c77-4b33-8fd4-e185d1a99149,2024-06-07T16:30:38.706000,"""How do I start a return process when the system is not allowing it but customer service previously confirmed acceptance of the return?""",false
psychobunny,9357c8e6-8644-4b9f-9fa5-9fdc074138d3,2024-06-07T16:22:21.736000,"""How can I exchange a shirt for a larger size if it's past the return window?""",false
psychobunny,d81a1edb-e405-4cfd-b925-cb5d97ea580a,2024-06-07T16:18:23.851000,"""Can I still return the shorts for a new size after missing the exchange window?""",true
psychobunny,ad5166ef-6d2d-473f-8a03-480c52c6a991,2024-06-07T16:13:29.546000,"""How can I get a refund for expedited shipping if my package is arriving late?""",false
psychobunny,50ac3fcd-baa2-470a-a0d2-2ccc87e27179,2024-06-07T16:03:45.970000,"""How can I get the tracking information if the link in the confirmation email is not working?""",true
psychobunny,81ded999-dce4-4d87-8de8-0ddced2ec1d3,2024-06-07T16:00:17.292000,"""How can I change the shirt sizes in my order from Large to XL?""",true
psychobunny,53760e3e-7ef1-4653-95e8-955c77ec5b65,2024-06-07T15:52:07.816999,"""How can I confirm that my refund has been processed correctly?""",true
psychobunny,73b07922-10a9-49d2-839b-fb563369fd2e,2024-06-07T15:42:23.177000,"""Why is the size of the polo I received larger than expected when the label states it is my requested size?""",false
psychobunny,73b07922-10a9-49d2-839b-fb563369fd2e,2024-06-07T15:42:23.177000,"""Can you confirm if the size of the polo shirt I bought is correct, as it seems too large even though the label indicates my requested size?""",false
psychobunny,e50da65e-ba49-43a5-a2b8-1d99d23b6695,2024-06-07T15:38:19.101000,"""Can someone call me to assist with an exchange?""",true
psychobunny,c13f4bc8-d572-4ad3-87de-9e2871aea5cd,2024-06-07T15:38:11.426000,"""Why was an item missing from my delivered order?""",false
psychobunny,dda9c68b-ed38-4b3f-99ec-9f139631d871,2024-06-07T15:37:47.551000,"""What can be done to locate my missing packages that were supposed to be delivered by FedEx?""",false
psychobunny,38cbdd2a-4eb0-4611-878e-25fbde43cb2c,2024-06-07T15:37:18.415999,"""How do I exchange a defective product?""",false
psychobunny,38cbdd2a-4eb0-4611-878e-25fbde43cb2c,2024-06-07T15:37:18.415999,"""What is the process for documenting and exchanging a defective item?""",false
psychobunny,38cbdd2a-4eb0-4611-878e-25fbde43cb2c,2024-06-07T15:37:18.415999,"""Can I exchange a product without completing a return first?""",false
psychobunny,a11437da-fab9-48fd-94bc-090d3d3fdcc7,2024-06-07T15:37:07.470999,"""Can I exchange a sale item for a different size if the size I ordered was wrong?""",false
